CTE, steer-value, p-term, i-term, d-term
0.7598,-1.0000,0.7598,0.7598,0.7598
0.7598,-0.0723,0.7598,1.5196,0.0000
0.7598,-0.0724,0.7598,2.2794,0.0000
0.7598,-0.0725,0.7598,3.0392,0.0000
0.7598,-0.0726,0.7598,3.7990,0.0000
0.7598,-0.0726,0.7598,4.5588,0.0000
0.7598,-0.0727,0.7598,5.3186,0.0000
0.7598,-0.0728,0.7598,6.0784,0.0000
0.7598,-0.0729,0.7598,6.8382,0.0000
0.7599,-0.0731,0.7599,7.5981,0.0001
0.7599,-0.0730,0.7599,8.3580,0.0000
0.7597,-0.0727,0.7597,9.1177,-0.0002
0.7596,-0.0730,0.7596,9.8773,-0.0001
0.7594,-0.0729,0.7594,10.6367,-0.0002
0.7592,-0.0729,0.7592,11.3959,-0.0002
0.7589,-0.0728,0.7589,12.1548,-0.0003
0.7587,-0.0730,0.7587,12.9135,-0.0002
0.7585,-0.0731,0.7585,13.6720,-0.0002
0.7582,-0.0730,0.7582,14.4302,-0.0003
0.7580,-0.0732,0.7580,15.1882,-0.0002
0.7577,-0.0731,0.7577,15.9459,-0.0003
0.7574,-0.0731,0.7574,16.7033,-0.0003
0.7571,-0.0732,0.7571,17.4604,-0.0003
0.7567,-0.0730,0.7567,18.2171,-0.0004
0.7564,-0.0732,0.7564,18.9735,-0.0003
0.7560,-0.0731,0.7560,19.7295,-0.0004
0.7556,-0.0732,0.7556,20.4851,-0.0004
0.7551,-0.0730,0.7551,21.2402,-0.0005
0.7547,-0.0732,0.7547,21.9949,-0.0004
0.7542,-0.0731,0.7542,22.7491,-0.0005
0.7542,-0.0740,0.7542,23.5033,0.0000
0.7536,-0.0730,0.7536,24.2569,-0.0006
0.7531,-0.0732,0.7531,25.0100,-0.0005
0.7525,-0.0730,0.7525,25.7625,-0.0006
0.7519,-0.0731,0.7519,26.5144,-0.0006
0.7512,-0.0729,0.7512,27.2656,-0.0007
0.7498,-0.0717,0.7498,28.0154,-0.0014
0.7491,-0.0729,0.7491,28.7645,-0.0007
0.7474,-0.0711,0.7474,29.5119,-0.0017
0.7466,-0.0726,0.7466,30.2585,-0.0008
0.7456,-0.0722,0.7456,31.0041,-0.0010
0.7456,-0.0740,0.7456,31.7497,0.0000
0.7436,-0.0705,0.7436,32.4933,-0.0020
0.7426,-0.0722,0.7426,33.2359,-0.0010
0.7414,-0.0718,0.7414,33.9773,-0.0012
0.7402,-0.0718,0.7402,34.7175,-0.0012
0.7390,-0.0717,0.7390,35.4565,-0.0012
0.7377,-0.0715,0.7377,36.1942,-0.0013
0.7363,-0.0713,0.7363,36.9305,-0.0014
0.7348,-0.0710,0.7348,37.6653,-0.0015
0.7333,-0.0710,0.7333,38.3986,-0.0015
0.7317,-0.0707,0.7317,39.1303,-0.0016
0.7301,-0.0706,0.7301,39.8604,-0.0016
0.7283,-0.0702,0.7283,40.5887,-0.0018
0.7265,-0.0701,0.7265,41.3152,-0.0018
0.7246,-0.0698,0.7246,42.0398,-0.0019
0.7226,-0.0695,0.7226,42.7624,-0.0020
0.7205,-0.0692,0.7205,43.4829,-0.0021
0.7183,-0.0689,0.7183,44.2012,-0.0022
0.7160,-0.0686,0.7160,44.9172,-0.0023
0.7160,-0.0726,0.7160,45.6332,0.0000
0.7136,-0.0683,0.7136,46.3468,-0.0024
0.7111,-0.0680,0.7111,47.0579,-0.0025
0.7085,-0.0677,0.7085,47.7664,-0.0026
0.7058,-0.0673,0.7058,48.4722,-0.0027
0.7029,-0.0668,0.7029,49.1751,-0.0029
0.7000,-0.0666,0.7000,49.8751,-0.0029
0.6969,-0.0660,0.6969,50.5720,-0.0031
0.6937,-0.0656,0.6937,51.2657,-0.0032
0.6904,-0.0652,0.6904,51.9561,-0.0033
0.6870,-0.0647,0.6870,52.6431,-0.0034
0.6835,-0.0643,0.6835,53.3266,-0.0035
0.6798,-0.0637,0.6798,54.0064,-0.0037
0.6760,-0.0632,0.6760,54.6824,-0.0038
0.6720,-0.0626,0.6720,55.3544,-0.0040
0.6679,-0.0621,0.6679,56.0223,-0.0041
0.6637,-0.0616,0.6637,56.6860,-0.0042
0.6637,-0.0688,0.6637,57.3497,0.0000
0.6594,-0.0611,0.6594,58.0091,-0.0043
0.6548,-0.0603,0.6548,58.6639,-0.0046
0.6501,-0.0597,0.6501,59.3140,-0.0047
0.6454,-0.0593,0.6454,59.9594,-0.0047
0.6403,-0.0582,0.6403,60.5997,-0.0051
0.6357,-0.0587,0.6357,61.2354,-0.0046
0.6318,-0.0596,0.6318,61.8672,-0.0039
0.6288,-0.0609,0.6288,62.4960,-0.0030
0.6273,-0.0634,0.6273,63.1233,-0.0015
0.6279,-0.0670,0.6279,63.7512,0.0006
0.6314,-0.0724,0.6314,64.3826,0.0035
0.6221,-0.0498,0.6221,65.0047,-0.0093
0.6221,-0.0657,0.6221,65.6268,0.0000
0.6183,-0.0589,0.6183,66.2451,-0.0038
0.6155,-0.0604,0.6155,66.8606,-0.0028
0.6114,-0.0579,0.6114,67.4720,-0.0041
0.6107,-0.0636,0.6107,68.0827,-0.0007
0.6107,-0.0649,0.6107,68.6934,0.0000
